epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9887.56,1.1434,0.58023,1.30338,0.98048,0.95046,0.98111,0.68952,1.09429,0.3974,1.14313,0.00643101,0.00643101,0.00643101
43,10121.8,1.13139,0.57738,1.29493,0.97202,0.96066,0.98133,0.68947,1.0908,0.39443,1.1427,0.00628101,0.00628101,0.00628101
44,10355.9,1.12778,0.57823,1.29335,0.97442,0.96187,0.98184,0.69196,1.08969,0.39564,1.14222,0.00612981,0.00612981,0.00612981
45,10590.1,1.11258,0.5652,1.28166,0.97289,0.96212,0.98149,0.68991,1.09143,0.3944,1.14355,0.00597754,0.00597754,0.00597754
46,10824.1,1.11671,0.56458,1.28376,0.97068,0.96466,0.98194,0.68886,1.09328,0.39177,1.14569,0.00582435,0.00582435,0.00582435
47,11058.2,1.10989,0.56067,1.28064,0.973,0.96269,0.98269,0.68855,1.09201,0.38867,1.14487,0.0056704,0.0056704,0.0056704
48,11292.3,1.10902,0.56201,1.28137,0.97765,0.96066,0.98283,0.68974,1.0914,0.38676,1.14434,0.00551584,0.00551584,0.00551584
49,11526.4,1.09696,0.55483,1.27117,0.9787,0.95949,0.98302,0.68794,1.09533,0.38643,1.14626,0.00536081,0.00536081,0.00536081
50,11760.4,1.09543,0.55052,1.27046,0.9816,0.95726,0.98304,0.68936,1.09436,0.38406,1.14479,0.00520548,0.00520548,0.00520548
51,11994.6,1.09381,0.55183,1.26914,0.98256,0.95758,0.98317,0.68948,1.09512,0.38395,1.14436,0.00505,0.00505,0.00505
52,12228.6,1.07947,0.5435,1.26073,0.98207,0.95741,0.98303,0.69114,1.09425,0.38321,1.14338,0.00489452,0.00489452,0.00489452
53,12462.7,1.0864,0.54321,1.26626,0.98227,0.95678,0.983,0.691,1.09422,0.38274,1.14329,0.00473919,0.00473919,0.00473919
54,12696.7,1.07179,0.53643,1.25671,0.98235,0.95678,0.98287,0.69161,1.0942,0.38339,1.14343,0.00458416,0.00458416,0.00458416
55,12930.9,1.06794,0.53234,1.2495,0.98205,0.95678,0.98291,0.69182,1.09427,0.38355,1.14279,0.0044296,0.0044296,0.0044296
56,13164.9,1.06665,0.53316,1.2495,0.98283,0.95629,0.9826,0.69058,1.0948,0.38391,1.14379,0.00427565,0.00427565,0.00427565
57,13399,1.06155,0.52559,1.24703,0.98207,0.95782,0.9825,0.69106,1.09429,0.38297,1.14392,0.00412246,0.00412246,0.00412246
58,13633,1.05538,0.51809,1.24199,0.9798,0.95775,0.98243,0.69225,1.0935,0.38254,1.14351,0.00397019,0.00397019,0.00397019
59,13867.2,1.04464,0.51198,1.23618,0.97445,0.96337,0.98226,0.69215,1.09307,0.38103,1.14344,0.00381899,0.00381899,0.00381899
60,14101.2,1.04052,0.5186,1.23443,0.98326,0.95726,0.98243,0.69269,1.09323,0.38001,1.14357,0.00366899,0.00366899,0.00366899
61,14335.5,1.03672,0.50886,1.22787,0.98382,0.95629,0.98207,0.6929,1.0932,0.37994,1.14368,0.00352037,0.00352037,0.00352037
62,14569.5,1.03023,0.51201,1.2297,0.98275,0.95629,0.98216,0.69279,1.09337,0.37988,1.14386,0.00337325,0.00337325,0.00337325
63,14803.6,1.02652,0.5065,1.22773,0.98205,0.95635,0.98207,0.69284,1.09298,0.37882,1.14362,0.00322778,0.00322778,0.00322778
64,15037.6,1.02143,0.49522,1.22024,0.98254,0.95679,0.98228,0.69256,1.09356,0.37853,1.14369,0.00308412,0.00308412,0.00308412
65,15271.8,1.01518,0.49508,1.22077,0.98254,0.95631,0.98239,0.69344,1.09288,0.37756,1.14381,0.00294239,0.00294239,0.00294239
66,15505.8,1.00772,0.4887,1.21313,0.98204,0.95583,0.98234,0.69377,1.09266,0.37742,1.14396,0.00280275,0.00280275,0.00280275
67,15739.9,1.00886,0.49172,1.21173,0.98185,0.95726,0.98235,0.69303,1.09239,0.37671,1.14456,0.00266532,0.00266532,0.00266532
68,15973.8,0.99983,0.48487,1.2058,0.98295,0.95775,0.9824,0.6942,1.09288,0.37639,1.14491,0.00253024,0.00253024,0.00253024
69,16207.8,0.99553,0.48074,1.20266,0.9821,0.95969,0.98238,0.69418,1.09254,0.37592,1.14477,0.00239766,0.00239766,0.00239766
70,16441.8,0.99293,0.4789,1.20179,0.98269,0.95775,0.98238,0.6942,1.09248,0.37571,1.14492,0.00226769,0.00226769,0.00226769
71,16675.8,0.99025,0.47727,1.20178,0.98369,0.95775,0.98241,0.69395,1.09239,0.37533,1.14513,0.00214046,0.00214046,0.00214046
72,16909.7,0.97831,0.47408,1.19233,0.9841,0.95775,0.98239,0.69404,1.09168,0.37431,1.14503,0.00201611,0.00201611,0.00201611
73,17143.7,0.97819,0.47536,1.19445,0.9847,0.95775,0.98247,0.69401,1.09136,0.37438,1.14493,0.00189475,0.00189475,0.00189475
74,17377.6,0.97486,0.46977,1.19404,0.9799,0.96309,0.98256,0.69433,1.0907,0.37339,1.14467,0.00177651,0.00177651,0.00177651
75,17611.8,0.96656,0.46645,1.18544,0.97926,0.96311,0.98267,0.69395,1.09092,0.37352,1.14484,0.00166149,0.00166149,0.00166149
76,17845.7,0.96148,0.46511,1.18384,0.98688,0.9558,0.98278,0.69355,1.09088,0.37263,1.14502,0.00154982,0.00154982,0.00154982
77,18079.8,0.9589,0.46045,1.18149,0.98599,0.95686,0.98276,0.69318,1.09094,0.37251,1.1452,0.00144161,0.00144161,0.00144161
78,18313.7,0.95621,0.46011,1.17993,0.98075,0.96357,0.98288,0.69357,1.09076,0.37246,1.14501,0.00133695,0.00133695,0.00133695
79,18547.8,0.93766,0.45046,1.1686,0.9811,0.96406,0.98293,0.69371,1.0909,0.37207,1.14539,0.00123596,0.00123596,0.00123596
80,18781.7,0.94427,0.45318,1.1707,0.98061,0.9626,0.98285,0.69374,1.091,0.37247,1.14546,0.00113873,0.00113873,0.00113873
81,19015.8,0.93579,0.44598,1.16672,0.98052,0.9626,0.98283,0.6934,1.0908,0.37225,1.14551,0.00104537,0.00104537,0.00104537
82,19249.7,0.93452,0.44567,1.16725,0.98796,0.9558,0.98284,0.69308,1.09133,0.37232,1.14573,0.000955951,0.000955951,0.000955951
83,19483.8,0.93088,0.44627,1.16367,0.98796,0.9558,0.98287,0.69333,1.09165,0.37188,1.14597,0.000870577,0.000870577,0.000870577
84,19717.8,0.92797,0.44183,1.16225,0.98073,0.9638,0.98295,0.69339,1.09228,0.37181,1.14629,0.000789327,0.000789327,0.000789327
85,19951.8,0.92443,0.44193,1.16014,0.98072,0.96339,0.98298,0.69368,1.0923,0.37202,1.14637,0.000712282,0.000712282,0.000712282
86,20185.8,0.91185,0.43515,1.15298,0.98746,0.95637,0.98294,0.69321,1.09266,0.37239,1.14677,0.000639518,0.000639518,0.000639518
87,20419.8,0.90986,0.43473,1.15266,0.98765,0.9558,0.98295,0.69294,1.09245,0.37227,1.14699,0.000571106,0.000571106,0.000571106
88,20653.8,0.91234,0.43611,1.15482,0.98762,0.95629,0.98304,0.69236,1.09233,0.37219,1.14702,0.000507115,0.000507115,0.000507115
89,20887.8,0.90629,0.43215,1.15261,0.98766,0.95629,0.98291,0.69289,1.09268,0.3726,1.14741,0.000447606,0.000447606,0.000447606
90,21121.7,0.90569,0.43331,1.15057,0.98709,0.95629,0.98305,0.69282,1.09325,0.37267,1.14772,0.00039264,0.00039264,0.00039264
91,21361,0.8198,0.30534,1.07243,0.98681,0.95629,0.98289,0.69294,1.09363,0.37296,1.14813,0.00034227,0.00034227,0.00034227
92,21594.8,0.80795,0.3,1.06416,0.97693,0.96647,0.98291,0.69292,1.09415,0.37327,1.14854,0.000296546,0.000296546,0.000296546
93,21828.4,0.80085,0.29684,1.05986,0.97836,0.96593,0.98295,0.69279,1.09477,0.37323,1.14933,0.000255513,0.000255513,0.000255513
94,22061.9,0.80006,0.29682,1.05986,0.97892,0.96503,0.98299,0.69179,1.09509,0.37306,1.14968,0.000219212,0.000219212,0.000219212
